LATITUDE,LONGITUDE
37.4617732,13.07827515
37.4544199,13.08731817
37.4482294,13.09763054
37.4335375,13.11749298
37.4216956,13.13783297
37.4137282,13.14668833
37.4088344,13.15478408
37.4017275,13.16392528
37.3892217,13.18286538
37.3802649,13.20063181
